BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Netto_Sozialhilfe_je_Einwohner
4611;Thundorf;2013;59
4776;Tobel-Tägerschen;2013;46
4696;Tägerwilen;2013;80
4616;Uesslingen-Buch;2013;9
4451;Uttwil;2013;76
4871;Wagenhausen;2013;75
4621;Warth-Weiningen;2013;39
4946;Weinfelden;2013;52
4951;Wigoltingen;2013;95
4786;Wilen;2013;50
4791;Wuppenau;2013;39
4701;Wäldi;2013;74
4781;Wängi;2013;43
4511;Zihlschlacht-Sitterdorf;2013;38
4551;Aadorf;2014;39
4711;Affeltrangen;2014;152
4641;Altnau;2014;61
4881;Amlikon-Bissegg;2014;98
4461;Amriswil;2014;164
4401;Arbon;2014;341
4536;Basadingen-Schlattingen;2014;143
4891;Berg;2014;58
4801;Berlingen;2014;-3
4716;Bettwiesen;2014;134
4721;Bichelsee-Balterswil;2014;35
4901;Birwinken;2014;-3
4471;Bischofszell;2014;120
4643;Bottighofen;2014;136
4723;Braunau;2014;129
4921;Bussnang;2014;44
4911;Bürglen;2014;224
4545;Diessenhofen;2014;146
4406;Dozwil;2014;-15
4411;Egnach;2014;56
4476;Erlen;2014;76
4646;Ermatingen;2014;153
4806;Eschenz;2014;102
4724;Eschlikon;2014;37
4561;Felben-Wellhausen;2014;104
4726;Fischingen;2014;123
4566;Frauenfeld;2014;190
4571;Gachnang;2014;188
4651;Gottlieben;2014;-26
4656;Güttingen;2014;144
4486;Hauptwil-Gottshaus;2014;-3
4416;Hefenhofen;2014;149
4811;Herdern;2014;33
4495;Hohentannen;2014;61
4816;Homburg;2014;106
4421;Horn;2014;30
4590;Hüttlingen;2014;33
4821;Hüttwilen;2014;21
4666;Kemmental;2014;89
4426;Kesswil;2014;7
4501;Kradolf-Schönenberg;2014;108
4671;Kreuzlingen;2014;255
4681;Langrickenbach;2014;212
4683;Lengwil;2014;125
4741;Lommis;2014;72
4826;Mammern;2014;124
4591;Matzingen;2014;118
4941;Märstetten;2014;125
4831;Müllheim;2014;87
4746;Münchwilen;2014;60
4691;Münsterlingen;2014;0
4601;Neunforn;2014;-19
4841;Pfyn;2014;-35
4846;Raperswilen;2014;98
4751;Rickenbach;2014;301
4431;Roggwil;2014;20
4436;Romanshorn;2014;103
4851;Salenstein;2014;101
4441;Salmsach;2014;144
4546;Schlatt;2014;102
4756;Schönholzerswilen;2014;82
4761;Sirnach;2014;123
4446;Sommeri;2014;82
4864;Steckborn;2014;135
4606;Stettfurt;2014;20
4506;Sulgen;2014;140
4611;Thundorf;2014;25
4776;Tobel-Tägerschen;2014;56
4696;Tägerwilen;2014;31
4616;Uesslingen-Buch;2014;59
4451;Uttwil;2014;111
4871;Wagenhausen;2014;111
4621;Warth-Weiningen;2014;59
4946;Weinfelden;2014;59
4951;Wigoltingen;2014;175
4786;Wilen;2014;71
4791;Wuppenau;2014;41
4701;Wäldi;2014;61
4781;Wängi;2014;76
4511;Zihlschlacht-Sitterdorf;2014;17
4551;Aadorf;2015;57
4711;Affeltrangen;2015;155
4641;Altnau;2015;172
4881;Amlikon-Bissegg;2015;38
4461;Amriswil;2015;191
4401;Arbon;2015;448
4536;Basadingen-Schlattingen;2015;154
4891;Berg;2015;39
4801;Berlingen;2015;2
4716;Bettwiesen;2015;209
4721;Bichelsee-Balterswil;2015;79
4901;Birwinken;2015;2
4471;Bischofszell;2015;98
4643;Bottighofen;2015;154
4723;Braunau;2015;79
4921;Bussnang;2015;231
4911;Bürglen;2015;108
4545;Diessenhofen;2015;150
4406;Dozwil;2015;-20
4411;Egnach;2015;50
4476;Erlen;2015;25
4646;Ermatingen;2015;102
4806;Eschenz;2015;141
4724;Eschlikon;2015;0
4561;Felben-Wellhausen;2015;60
4726;Fischingen;2015;168
4566;Frauenfeld;2015;241
4571;Gachnang;2015;145
4651;Gottlieben;2015;27
4656;Güttingen;2015;96
4486;Hauptwil-Gottshaus;2015;4
4416;Hefenhofen;2015;242
4811;Herdern;2015;44
4495;Hohentannen;2015;34
4816;Homburg;2015;26
4421;Horn;2015;40
4590;Hüttlingen;2015;67
4821;Hüttwilen;2015;25
4666;Kemmental;2015;93
4426;Kesswil;2015;95
4501;Kradolf-Schönenberg;2015;118
4671;Kreuzlingen;2015;336
4681;Langrickenbach;2015;217
4683;Lengwil;2015;82
4741;Lommis;2015;56
4826;Mammern;2015;36
4591;Matzingen;2015;72
4941;Märstetten;2015;134
4831;Müllheim;2015;208
4746;Münchwilen;2015;60
4691;Münsterlingen;2015;22
4601;Neunforn;2015;172
4841;Pfyn;2015;22
4846;Raperswilen;2015;82
4751;Rickenbach;2015;207
4431;Roggwil;2015;7
4436;Romanshorn;2015;129
4851;Salenstein;2015;223
4441;Salmsach;2015;193
4546;Schlatt;2015;184
4756;Schönholzerswilen;2015;61
4761;Sirnach;2015;65
