Gemeinde,BFS_NR_GEMEINDE,Total,Ausländeranteil_Prozent,Jahr
Schönholzerswilen,4756,778,4.5,2011
Sirnach,4761,7191,21.3,2011
Sommeri ,4446,515,9.9,2011
Steckborn,4864,3642,24.8,2011
Stettfurt,4606,1129,6.8,2011
Sulgen,4506,3469,22,2011
Tägerwilen,4696,3997,33.3,2011
Thundorf,4611,1326,7.2,2011
Tobel-Tägerschen ,4776,1379,12.6,2011
Uesslingen-Buch,4616,1069,6,2011
Uttwil,4451,1757,14.4,2011
Wagenhausen,4871,1611,18.2,2011
Wäldi,4701,998,11.1,2011
Wängi,4781,4226,13.2,2011
Warth-Weiningen,4621,1227,7.5,2011
Weinfelden,4946,10440,20.1,2011
Wigoltingen,4951,2172,11.5,2011
Wilen,4786,2125,9.3,2011
Wuppenau,4791,1063,6.4,2011
Zihlschlacht-Sitterdorf,4511,2113,11,2011
Aadorf,4551,8364,15.9,2012
Affeltrangen,4711,2383,13.3,2012
Altnau,4641,2061,18.6,2012
Amlikon-Bissegg,4881,1285,7.9,2012
Amriswil,4461,12503,28.5,2012
Arbon,4401,13884,29.7,2012
Basadingen-Schlattingen,4536,1712,11.3,2012
Berg,4891,3186,11.5,2012
Berlingen ,4801,858,23.7,2012
Bettwiesen,4716,1109,20.2,2012
Bichelsee-Balterswil,4721,2675,10.2,2012
Birwinken,4901,1333,8.4,2012
Bischofszell,4471,5546,23.2,2012
Bottighofen,4643,2110,29,2012
Braunau,4723,711,8.4,2012
Bürglen,4911,3422,25.3,2012
Bussnang,4921,2168,11.1,2012
Diessenhofen ,4545,3513,31.7,2012
Dozwil,4406,660,10.9,2012
Egnach,4411,4313,12.2,2012
Erlen,4476,3233,21.5,2012
Ermatingen,4646,3021,27.4,2012
Eschenz,4806,1637,16.1,2012
Eschlikon,4724,4059,11.9,2012
Felben-Wellhausen,4561,2536,17.2,2012
Fischingen,4726,2577,7.8,2012
Frauenfeld,4566,23948,22.6,2012
Gachnang,4571,3492,12.1,2012
Gottlieben,4651,292,34.9,2012
Güttingen,4656,1473,18.6,2012
Hauptwil-Gottshaus,4486,1873,10.1,2012
Hefenhofen,4416,1218,12.6,2012
Herdern,4811,959,7.3,2012
Hohentannen,4495,604,9.3,2012
Homburg,4816,1471,7.6,2012
Horn,4421,2579,15.9,2012
Hüttlingen,4590,818,9.2,2012
Hüttwilen,4821,1561,8.7,2012
Kemmental,4666,2290,17.9,2012
Kesswil,4426,1007,17.9,2012
Kradolf-Schönenberg,4501,3298,21,2012
Kreuzlingen,4671,20349,51.6,2012
Langrickenbach,4681,1145,11.6,2012
Lengwil,4683,1428,19.5,2012
Lommis,4741,1125,11,2012
Mammern,4826,615,27.2,2012
Märstetten,4941,2581,11.2,2012
Matzingen,4591,2556,21,2012
Müllheim,4831,2666,13.6,2012
Münchwilen,4746,4997,19.4,2012
Münsterlingen,4691,3054,36.5,2012
Neunforn,4601,953,6.9,2012
Pfyn,4841,1948,13.1,2012
Raperswilen,4846,403,6.7,2012
Rickenbach,4751,2593,31.4,2012
