Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Frauenfeld,4566,20.4,28.4,35.3,11.3,4.7,2008
Gachnang,4571,25.5,24,40.6,7.8,2.1,2008
Gottlieben,4651,15.5,22.2,43.4,14.9,4.1,2008
Güttingen,4656,25.1,21.8,38.9,10.9,3.2,2008
Hauptwil-Gottshaus,4486,25.7,27,36.7,7.5,3.2,2008
Hefenhofen,4416,27.7,20.8,38.5,9.6,3.4,2008
Herdern,4811,25.7,23.3,39.3,7.7,4.1,2008
Hohentannen,4495,31.1,21.1,34.5,8.7,4.5,2008
Homburg,4816,25.3,23.3,37.3,10.6,3.5,2008
Horn,4421,20.1,25.5,36.5,12.3,5.7,2008
Hüttlingen,4590,24.9,25.7,37.6,9.3,2.5,2008
Hüttwilen,4821,24.2,23.4,37.5,11.1,3.7,2008
Kemmental,4666,26.1,22.5,37.8,9.8,3.9,2008
Kesswil,4426,23.1,21.9,37.9,13.5,3.6,2008
Kradolf-Schönenberg,4501,24.7,25.8,37.7,8.4,3.3,2008
Kreuzlingen,4671,19.2,28.2,35.8,12.6,4.3,2008
Langrickenbach,4681,26.9,23,38.4,7.8,3.9,2008
Lengwil,4683,24.6,24.1,39.5,9.1,2.7,2008
Lommis,4741,28.8,18.9,41.4,8.4,2.4,2008
Mammern,4826,25.5,21.8,38.3,10.9,3.5,2008
Märstetten,4941,27.3,25.3,36.3,8.3,2.9,2008
Matzingen,4591,25.4,26.1,37.1,8.4,3,2008
Müllheim,4831,26.1,23.4,38,9.1,3.4,2008
Münchwilen,4746,25.7,26.5,35.2,8.7,3.9,2008
Münsterlingen,4691,21.7,25.2,38.8,11.1,3.2,2008
Neunforn,4601,20.3,20.7,42.4,11.7,4.9,2008
Pfyn,4841,24.9,25.4,37.5,8.6,3.7,2008
Raperswilen,4846,25.5,21.8,37.4,10.6,4.7,2008
Rickenbach,4751,20.5,31.3,34.8,10.7,2.7,2008
Roggwil,4431,26.3,23.9,37.7,8.7,3.5,2008
Romanshorn,4436,21.4,24.4,35.2,12.9,6.1,2008
Salenstein,4851,17.9,21.3,45.3,10.9,4.7,2008
Salmsach,4441,23.8,25.8,37.6,10.2,2.6,2008
Schlatt,4546,25.1,22.5,38.8,10.2,3.4,2008
Schönholzerswilen,4756,30.6,23.5,32.3,10.1,3.5,2008
Sirnach,4761,24.1,26.4,35.8,9.9,3.8,2008
Sommeri,4446,22.7,24.7,37.2,11.2,4.3,2008
Steckborn,4864,21.6,21.1,38.6,12.9,5.8,2008
Stettfurt,4606,27.8,20.4,41.2,7.8,2.9,2008
Sulgen,4506,24.4,25.6,34.6,10.6,4.9,2008
Tägerwilen,4696,24.1,24.1,37.4,10.9,3.6,2008
Thundorf,4611,26.6,23.7,38,8.2,3.5,2008
Tobel-Tägerschen,4776,27.1,25.7,35.1,9.2,2.8,2008
Uesslingen-Buch,4616,25.7,20.1,40.2,11,3.1,2008
Uttwil,4451,24.6,23.1,37.8,10.7,3.9,2008
Wagenhausen,4871,21.6,24.7,38.2,11.8,3.7,2008
Wäldi,4701,23.3,25.1,38.4,9.8,3.5,2008
